trial,fold,F1 Score,Accuracy,Precision,Recall,Batch Size,Learning Rate,Optimizer,Scheduler,Accumulation Steps,Weight Decay
70,3,0.678740761582161,0.679164993978322,0.6790284611419464,0.679164993978322,256,0.0019875717840141,AdamW,StepLR,4,0.0015436336461969
70,4,0.6867359137566058,0.6871938980329185,0.6866699852579967,0.6871938980329185,256,0.0019875717840141,AdamW,StepLR,4,0.0015436336461969
70,5,0.6735067264942769,0.6734644720995584,0.6741726638497548,0.6734644720995584,256,0.0019875717840141,AdamW,StepLR,4,0.0015436336461969
40,1,0.6138682599089781,0.6153660886319846,0.6155752245098084,0.6153660886319846,128,2.1121994423489225e-05,AdamW,StepLR,1,0.001284564124388
40,2,0.613117344696629,0.6150449582530507,0.6135962908229937,0.6150449582530507,128,2.1121994423489225e-05,AdamW,StepLR,1,0.001284564124388
40,3,0.6145455801042409,0.6165395423524689,0.615800195423176,0.6165395423524689,128,2.1121994423489225e-05,AdamW,StepLR,1,0.001284564124388
40,4,0.6233971836886073,0.6246487354476113,0.625784826467761,0.6246487354476113,128,2.1121994423489225e-05,AdamW,StepLR,1,0.001284564124388
40,5,0.6116668318602148,0.6128462464873545,0.6121416465742044,0.6128462464873545,128,2.1121994423489225e-05,AdamW,StepLR,1,0.001284564124388
9,1,0.6555183546857247,0.6560693641618497,0.6553977279683406,0.6560693641618497,256,0.0002554275570442,Adam,StepLR,2,1.87784008964611e-06
9,2,0.6529918792662096,0.6532594733461785,0.6531306587526602,0.6532594733461785,256,0.0002554275570442,Adam,StepLR,2,1.87784008964611e-06
9,3,0.655372488442831,0.6553191489361702,0.6558547354480236,0.6553191489361702,256,0.0002554275570442,Adam,StepLR,2,1.87784008964611e-06
9,4,0.6569775147680663,0.6574869530309113,0.6570797347183531,0.6574869530309113,256,0.0002554275570442,Adam,StepLR,2,1.87784008964611e-06
9,5,0.6508494120015655,0.6517061421116017,0.6511013331229281,0.6517061421116017,256,0.0002554275570442,Adam,StepLR,2,1.87784008964611e-06
92,1,0.6860239301506835,0.6860950545921645,0.6867253404734881,0.6860950545921645,256,0.0019813054763819,AdamW,StepLR,2,0.0014633338499676
92,2,0.6788329474939732,0.6789499036608864,0.6795467129238915,0.6789499036608864,256,0.0019813054763819,AdamW,StepLR,2,0.0014633338499676
92,3,0.6803810464309479,0.6808510638297872,0.681654959626452,0.6808510638297872,256,0.0019813054763819,AdamW,StepLR,2,0.0014633338499676
92,4,0.6875722591114882,0.6877559213167402,0.688283133275235,0.6877559213167402,256,0.0019813054763819,AdamW,StepLR,2,0.0014633338499676
92,5,0.6811259230502931,0.6818145323163388,0.6820125049704001,0.6818145323163388,256,0.0019813054763819,AdamW,StepLR,2,0.0014633338499676
35,1,0.663991435938065,0.6644187540141298,0.6644583422145552,0.6644187540141298,256,0.0003199161026267,AdamW,StepLR,1,0.0051350093011267
35,2,0.6603668511431194,0.6601637764932563,0.660876274212685,0.6601637764932563,256,0.0003199161026267,AdamW,StepLR,1,0.0051350093011267
35,3,0.6602000899321174,0.6610196708149337,0.6600476249114142,0.6610196708149337,256,0.0003199161026267,AdamW,StepLR,1,0.0051350093011267
35,4,0.6650492728302245,0.6657567242071457,0.6647817064518531,0.6657567242071457,256,0.0003199161026267,AdamW,StepLR,1,0.0051350093011267
35,5,0.6594014980965768,0.6588518667201927,0.6602845371383556,0.6588518667201927,256,0.0003199161026267,AdamW,StepLR,1,0.0051350093011267
25,1,0.6710185721742555,0.6714836223506744,0.6712561228977004,0.6714836223506744,384,0.0020100181532364,AdamW,StepLR,8,0.0008193052271364
25,2,0.6706014890919536,0.6706807964033398,0.6716174901308153,0.6706807964033398,384,0.0020100181532364,AdamW,StepLR,8,0.0008193052271364
25,3,0.6700116704329396,0.6700120433560819,0.6706677327695457,0.6700120433560819,384,0.0020100181532364,AdamW,StepLR,8,0.0008193052271364
25,4,0.6696841096980538,0.6704937775993577,0.6696706703355318,0.6704937775993577,384,0.0020100181532364,AdamW,StepLR,8,0.0008193052271364
25,5,0.6685862424073721,0.6692894419911682,0.6687874671980074,0.6692894419911682,384,0.0020100181532364,AdamW,StepLR,8,0.0008193052271364
96,1,0.683544369033231,0.6832048811817598,0.685145605205805,0.6832048811817598,256,0.0037453691615718,AdamW,StepLR,2,0.0025417551105993
96,2,0.6767694483278065,0.6771034039820167,0.6771224280912694,0.6771034039820167,256,0.0037453691615718,AdamW,StepLR,2,0.0025417551105993
96,3,0.6811799353611924,0.6808510638297872,0.6820844486557773,0.6808510638297872,256,0.0037453691615718,AdamW,StepLR,2,0.0025417551105993
96,4,0.6859771865128708,0.6871938980329185,0.6877795370816672,0.6871938980329185,256,0.0037453691615718,AdamW,StepLR,2,0.0025417551105993
96,5,0.6751815427798281,0.6750702529104777,0.6762136682951743,0.6750702529104777,256,0.0037453691615718,AdamW,StepLR,2,0.0025417551105993
61,1,0.6875184869808869,0.6874598587026333,0.6888754777248115,0.6874598587026333,256,0.0014970003457465,AdamW,StepLR,2,0.001816218664409
61,2,0.679902626332701,0.6801541425818882,0.6801073083225816,0.6801541425818882,256,0.0014970003457465,AdamW,StepLR,2,0.001816218664409
61,3,0.6786102560864242,0.6782818145323163,0.6796069001361944,0.6782818145323163,256,0.0014970003457465,AdamW,StepLR,2,0.001816218664409
61,4,0.6812186967445899,0.6817342432757929,0.6813963462690995,0.6817342432757929,256,0.0014970003457465,AdamW,StepLR,2,0.001816218664409
61,5,0.6795666428414624,0.6798073063026897,0.6797440653655914,0.6798073063026897,256,0.0014970003457465,AdamW,StepLR,2,0.001816218664409
8,1,0.4774403315215698,0.488359023763648,0.4849410596938001,0.488359023763648,384,3.24573212470412e-06,AdamW,CosineAnnealingLR,2,0.0025648944792099
8,2,0.4834407695970634,0.4909280667951188,0.4889687966875636,0.4909280667951188,384,3.24573212470412e-06,AdamW,CosineAnnealingLR,2,0.0025648944792099
8,3,0.4759125680191843,0.4879967884383782,0.4826572970482471,0.4879967884383782,384,3.24573212470412e-06,AdamW,CosineAnnealingLR,2,0.0025648944792099
8,4,0.4832189421999367,0.495383380168607,0.4934701748411428,0.495383380168607,384,3.24573212470412e-06,AdamW,CosineAnnealingLR,2,0.0025648944792099
8,5,0.4832776129436201,0.4919309514251305,0.4868311744569724,0.4919309514251305,384,3.24573212470412e-06,AdamW,CosineAnnealingLR,2,0.0025648944792099
39,1,0.6789762842170148,0.6793513166345536,0.6797190304277261,0.6793513166345536,384,0.0011791767007379,AdamW,CosineAnnealingLR,1,0.0027149717112229
